Privacy,Folder,ContractType
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3516 Operation & maintenance manuals,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3517 Commissioning records,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3518 Temporary traffic control measures,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3519 Pile driving records,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3520 Bituminous Pavement and surfacing records,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3521 Extent of clearing records,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3522 Road Safety Audits,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3523 Property condition surveys,Common
Private,Closeout/Specified Records/SR3500 As-constructed Information/SR3524 Pavement condition performance measurement prior to PC,Common
Private,Closeout/Specified Records/SR3600 Environmental Permits and Approvals,Common
Private,Closeout/Specified Records/SR3700 Approval to Disturb New Aboriginal Site,Common
Private,Closeout/Specified Records/SR3800 Property Condition Surveys,Common
Private,Closeout/Specified Records/SR3900 Approvals to Store Hazardous Materials on the Site,Common
Private,Closeout/Specified Records/SR4000 Owner consent for design and construction of boundary walls and fences,Common
Private,Closeout/Specified Records/SR4100 Register of Temporary Traffic Control Measures,Common
Private,Closeout/Specified Records/SR4200 Quality Records,Common
Private,Closeout/Specified Records/SR4200 Quality Records/Hold Points,Common
Private,Closeout/Specified Records/SR4200 Quality Records/Lots,Common
Private,Closeout/Specified Records/SR4200 Quality Records/NCRs,Common
Private,Closeout/Specified Records/SR4200 Quality Records/Subcontractor MDRs,Common
Private,Commercial/Progress Claims,Common
Standard,Admin,Common
Standard,Approvals,Common
Standard,Construction,Common
Standard,Contract Docs,Common
Standard,Contract Docs/BDC,Alliance
Standard,Contract Docs/Project Alliance Agreement,Alliance
Standard,Contract Docs/Project Deed,D&C
Standard,Contract Docs/SWTC,Common
Standard,Correspondence,Common
Standard,Databases,Common
Standard,Databases/Lessons Learnt,Common
Standard,Databases/Registers,Common
Standard,Databases/Templates,Common
Standard,Design/Civil,Common
Standard,Design/Civil/015%,Common
Standard,Design/Civil/085%,Common
Standard,Design/Civil/100%,Common
Standard,Design/Civil/AsCon,Common
Standard,Design/Civil/IFC,Common
Standard,Design/EITS,Common
Standard,Design/EITS/015%,Common
Standard,Design/EITS/085%,Common
Standard,Design/EITS/100%,Common
Standard,Design/EITS/AsCon,Common
Standard,Design/EITS/IFC,Common
Standard,Design/Structures,Common
Standard,Design/Structures/015%,Common
Standard,Design/Structures/085%,Common
Standard,Design/Structures/100%,Common
Standard,Design/Structures/AsCon,Common
Standard,Design/Structures/IFC,Common
Standard,Environment,Common
Standard,External Data,Common
Standard,External Data/Main Roads WA,Common
Standard,External Data/PTA,Common
Standard,Insurances,Common
Standard,KRAs,Common
Standard,Meetings,Common
Standard,Meetings/Alliance Board Meetings,Alliance
Standard,Meetings/AMT Meetings,Alliance
Standard,Meetings/Quality Meetings,Common
Standard,Meetings/Site Meetings,D&C
Standard,People,Common
Standard,Photos and Videos,Common
Standard,PMP,Alliance
Standard,PMP/Aboriginal Participation Plan,Alliance
Standard,PMP/Community and Stakeholder Engagement Plan,Alliance
Standard,PMP/Durability Plan,Alliance
Standard,PMP/Environmental Management Plan,Alliance
Standard,PMP/Fauna Management Plan,Alliance
Standard,PMP/Industry Sustainability Plan,Alliance
Standard,PMP/Procurement Management Plan,Alliance
Standard,PMP/Project Traffic Management Plan,Alliance
Standard,PMP/Quality Management Plan,Alliance
Standard,PMP/Safety and Health Management Plan,Alliance
Standard,PMP/Sustainability Management Plan,Alliance
Standard,Position Papers,Alliance
Standard,Presentations,Common
Standard,Program,Common
Standard,Project Plans,D&C
Standard,Project Plans/Aboriginal Management Plan,D&C
Standard,Project Plans/Durability Plan,D&C
Standard,Project Plans/Environmental Management Plan,D&C
Standard,Project Plans/Industry Sustainability Plan,D&C
Standard,Project Plans/Project Traffic Management Plan,D&C
Standard,Project Plans/Quality Management Plan,D&C
Standard,Project Plans/Safety and Health Management Plan,D&C
Standard,Project Plans/Sustainability Management Plan,D&C
Standard,Quality/Audits,Common
Standard,Quality/Audits/Process,Common
Standard,Quality/Audits/Product,Common
Standard,Quality/Audits/Suitability,Common
Standard,Quality/Hold Points,Common
Standard,Quality/Hold Points/HP001 Title,Common
Standard,Quality/ITPs,D&C
Standard,Quality/Method Statements,Common
Standard,Quality/NCRs,Common
Standard,Quality/PCPs,Alliance
Standard,Quality/Technical Queries,Common
Standard,Quality/Test Results,Common
Standard,Reporting,Common
Standard,Reporting/Aboriginal Participation Reports,Common
Standard,Reporting/Monthly Reports,Common
Standard,Scope Changes,Alliance
Standard,Subcontractors,Common
Standard,Sustainability,Common
Standard,Traffic,Common
Standard,Variations,D&C
Standard,Work Packages,Alliance
Standard,Works Report,Alliance
Subsite,portal/XXX1000 EOI Document,Common
Subsite,portal/XXX2000 EOI Reference Information,Common
Subsite,portal/XXX3000 EOI Addenda,Common
Subsite,portal/XXX4000 EOI Commentaries,Common
Subsite,portal/XXX5000 RFP,Common
Subsite,portal/XXX5000 RFP/XXX5100 RFP Document,Common
Subsite,portal/XXX5000 RFP/XXX5200 SWTC,Common
Subsite,portal/XXX5000 RFP/XXX5300 Project Alliance Agreement,Alliance
Subsite,portal/XXX5000 RFP/XXX5300 Project Deed,D&C
Subsite,portal/XXX5000 RFP/XXX5400 BDC,Alliance
Subsite,portal/XXX6000 RFP Reference Information,Common
Subsite,portal/XXX7000 RFP Addenda,Common
Subsite,portal/XXX8000 RFP Commentaries,Common
Subsite,portal/XXX9000 Contract Docs,Common
Subsite,portal/XXX9000 Contract Docs/BDC,Alliance
Subsite,portal/XXX9000 Contract Docs/Project Alliance Agreement,Alliance
Subsite,portal/XXX9000 Contract Docs/Project Deed,D&C
Subsite,portal/XXX9000 Contract Docs/SWTC,Common
